range, n1 , average1, std1, n2 , average2, std2, skewed_1, skewed_2, non_skewed, vector
65535, 169096, 19337.2, 21706.3, 169096, 19337.2, 21706.3, 945155, 920726, 440050, 142973
65535, 169096, 19337.2, 21706.3, 46, 20595.6, 23630.1, 48655, 1245, 54665, 20268
65535, 169096, 19337.2, 21706.3, 17648, 19492.5, 21753.7, 102501, 125193, 115729, 36799
65535, 169096, 19337.2, 21706.3, 240934, 19336.5, 21696.3, 559950, 491613, 1011839, 194862
65535, 169096, 19337.2, 21706.3, 3018, 19249.9, 21904.1, 60652, 33682, 69542, 24400
65535, 169096, 19337.2, 21706.3, 898, 18996.5, 21566.9, 54663, 13533, 61450, 22558
65535, 169096, 19337.2, 21706.3, 2665, 19475.2, 21946.2, 59285, 30481, 67983, 24097
65535, 169096, 19337.2, 21706.3, 169096, 19337.2, 21706.3, 922608, 1052122, 440879, 142093
65535, 169096, 19337.2, 21706.3, 20745, 19371.4, 21774.3, 106752, 157371, 128113, 39009
65535, 169096, 19337.2, 21706.3, 51, 19446.5, 22337.2, 49866, 1405, 56176, 23970
65535, 169096, 19337.2, 21706.3, 5520, 19426, 21763.8, 66636, 51482, 75987, 26318
65535, 169096, 19337.2, 21706.3, 140605, 19327.8, 21687.7, 515583, 439542, 842086, 203207
65535, 169096, 19337.2, 21706.3, 2628, 20020.4, 22096.8, 59784, 35111, 68211, 23969
65535, 169096, 19337.2, 21706.3, 250780, 19328.8, 21691.7, 574101, 492793, 1027310, 318416
65535, 169096, 19337.2, 21706.3, 301987, 19329, 21683.5, 524595, 517098, 1394612, 233045
65535, 169096, 19337.2, 21706.3, 312765, 19327.4, 21681.3, 509392, 531074, 1423225, 239499
65535, 169096, 19337.2, 21706.3, 409, 18891.1, 21607.2, 52860, 7289, 60514, 21554
65535, 169096, 19337.2, 21706.3, 10629, 19411.2, 21636, 81173, 85575, 96625, 30739
65535, 169096, 19337.2, 21706.3, 3376, 19271.5, 21617.6, 61309, 37084, 70233, 24555
65535, 169096, 19337.2, 21706.3, 1969, 19674, 21998.6, 57721, 24449, 65603, 23498
65535, 169096, 19337.2, 21706.3, 1422, 18971.7, 21332.3, 55713, 21073, 63943, 23081
65535, 169096, 19337.2, 21706.3, 898, 18996.5, 21566.9, 54526, 13785, 61348, 22467
65535, 169096, 19337.2, 21706.3, 312765, 19327.4, 21681.3, 512969, 535920, 1453401, 239598
65535, 169096, 19337.2, 21706.3, 59, 17259.6, 21337.8, 50883, 1040, 58489, 61219
65535, 169096, 19337.2, 21706.3, 11492, 19266.7, 21695.8, 83230, 89647, 106778, 31223
65535, 169096, 19337.2, 21706.3, 4877, 19205.5, 21700.6, 65802, 47413, 76617, 25978
65535, 169096, 19337.2, 21706.3, 4014, 19521.4, 21856, 63304, 41507, 105875, 68336
65535, 169096, 19337.2, 21706.3, 20745, 19371.4, 21774.3, 162495, 158662, 131428, 38708
