range, n1 , average1, std1, n2 , average2, std2, skewed_1, skewed_2, non_skewed
65535, 169096, 19337.2, 21706.3, 169096, 19337.2, 21706.3, 11049, 5522, 561620
65535, 169096, 19337.2, 21706.3, 46, 20595.6, 23630.1, 110023, 453, 54764
65535, 169096, 19337.2, 21706.3, 17648, 19492.5, 21753.7, 6327, 1297, 112835
65535, 169096, 19337.2, 21706.3, 240934, 19336.5, 21696.3, 7101, 7877, 1004598
65535, 169096, 19337.2, 21706.3, 3018, 19249.9, 21904.1, 4969, 790, 69336
65535, 169096, 19337.2, 21706.3, 898, 18996.5, 21566.9, 5248, 429, 61425
65535, 169096, 19337.2, 21706.3, 2665, 19475.2, 21946.2, 5685, 571, 68388
65535, 169096, 19337.2, 21706.3, 169096, 19337.2, 21706.3, 6386, 5478, 476287
65535, 169096, 19337.2, 21706.3, 20745, 19371.4, 21774.3, 6700, 918, 132796
65535, 169096, 19337.2, 21706.3, 51, 19446.5, 22337.2, 103027, 263, 56224
65535, 169096, 19337.2, 21706.3, 5520, 19426, 21763.8, 5608, 617, 75373
65535, 169096, 19337.2, 21706.3, 140605, 19327.8, 21687.7, 9317, 4568, 823262
65535, 169096, 19337.2, 21706.3, 2628, 20020.4, 22096.8, 6027, 565, 68445
65535, 169096, 19337.2, 21706.3, 250780, 19328.8, 21691.7, 6651, 8524, 1013419
65535, 169096, 19337.2, 21706.3, 301987, 19329, 21683.5, 8281, 9392, 1355952
65535, 169096, 19337.2, 21706.3, 312765, 19327.4, 21681.3, 8011, 9668, 1358876
65535, 169096, 19337.2, 21706.3, 409, 18891.1, 21607.2, 5778, 286, 60406
65535, 169096, 19337.2, 21706.3, 10629, 19411.2, 21636, 6384, 838, 96970
65535, 169096, 19337.2, 21706.3, 3376, 19271.5, 21617.6, 5413, 578, 70664
65535, 169096, 19337.2, 21706.3, 1969, 19674, 21998.6, 5278, 583, 65829
65535, 169096, 19337.2, 21706.3, 1422, 18971.7, 21332.3, 8333, 447, 63855
65535, 169096, 19337.2, 21706.3, 898, 18996.5, 21566.9, 5385, 384, 61377
65535, 169096, 19337.2, 21706.3, 312765, 19327.4, 21681.3, 7142, 9970, 1359289
65535, 169096, 19337.2, 21706.3, 59, 17259.6, 21337.8, 106211, 360, 58574
65535, 169096, 19337.2, 21706.3, 11492, 19266.7, 21695.8, 6395, 1955, 199179
65535, 169096, 19337.2, 21706.3, 4877, 19205.5, 21700.6, 21567, 870, 106324
65535, 169096, 19337.2, 21706.3, 4014, 19521.4, 21856, 6274, 673, 86243
65535, 169096, 19337.2, 21706.3, 20745, 19371.4, 21774.3, 7235, 959, 131671
65535, 169096, 19337.2, 21706.3, 108, 18207.6, 20618.4, 3061, 236, 58910
65535, 169096, 19337.2, 21706.3, 166551, 19344, 21708.4, 7281, 5540, 547793
65535, 169096, 19337.2, 21706.3, 2, 2200, 3109.86, 7598, 324, 4055
65535, 169096, 19337.2, 21706.3, 2571, 19162.6, 21836, 5555, 590, 67520
65535, 169096, 19337.2, 21706.3, 2571, 19162.6, 21836, 5388, 467, 67671
65535, 169096, 19337.2, 21706.3, 3763, 18832.8, 21301, 5648, 600, 71655
65535, 169096, 19337.2, 21706.3, 5483, 18968.8, 21563.5, 5959, 573, 78581
65535, 169096, 19337.2, 21706.3, 5316, 19285.6, 21759.8, 5706, 577, 76666
65535, 169096, 19337.2, 21706.3, 7017, 19371.7, 21704.6, 6211, 727, 84607
65535, 169096, 19337.2, 21706.3, 4636, 19684.2, 21852.8, 5749, 615, 91832
65535, 169096, 19337.2, 21706.3, 79417, 19334.9, 21668.4, 7052, 19230, 621248
65535, 169096, 19337.2, 21706.3, 732, 20160.8, 22194.3, 4967, 302, 61570
65535, 169096, 19337.2, 21706.3, 16206, 19359.8, 21733.6, 6689, 1097, 116967
65535, 169096, 19337.2, 21706.3, 86, 18488.5, 21338, 110437, 255, 56396
65535, 169096, 19337.2, 21706.3, 5478, 19207.8, 21642.9, 5913, 651, 77903
65535, 169096, 19337.2, 21706.3, 3, 8564.33, 13587.3, 40993, 392, 21912
65535, 169096, 19337.2, 21706.3, 312521, 19323.6, 21680.9, 9051, 9574, 1400307
65535, 169096, 19337.2, 21706.3, 4496, 19176.5, 21689.6, 5660, 626, 75380
65535, 169096, 19337.2, 21706.3, 3172, 19030.8, 21435.9, 5607, 751, 69638
65535, 169096, 19337.2, 21706.3, 5441, 19163.3, 21562.4, 5899, 626, 78284
65535, 169096, 19337.2, 21706.3, 250780, 19328.8, 21691.7, 6776, 8395, 1011009
65535, 169096, 19337.2, 21706.3, 2376, 19158.9, 21576.2, 5448, 630, 67633
65535, 169096, 19337.2, 21706.3, 6, 15342, 25608.3, 4125, 581, 56702
65535, 169096, 19337.2, 21706.3, 312765, 19327.4, 21681.3, 7453, 10010, 1362680
65535, 169096, 19337.2, 21706.3, 21235, 19309.7, 21655.7, 6328, 1250, 135332
65535, 169096, 19337.2, 21706.3, 3577, 19229.6, 21728.4, 5945, 607, 70764
65535, 169096, 19337.2, 21706.3, 585, 19792.1, 22052.7, 4378, 327, 60676
65535, 169096, 19337.2, 21706.3, 1, 26612, -nan, 44793, 225, 24081
65535, 169096, 19337.2, 21706.3, 140627, 19296.7, 21654.6, 7844, 4847, 534945
65535, 169096, 19337.2, 21706.3, 301784, 19320.4, 21685.3, 8397, 9342, 1345623
65535, 169096, 19337.2, 21706.3, 4636, 19684.2, 21852.8, 5764, 633, 73547
