range,n1,average1,std1,n2,average2,std2,skewed_1,skewed_2,non_skewed,vector,fastest_algo
65535,169096,19337.2,21706.3,169096,19337.2,21706.3,208397,197207,118358,34664,vector
65535,169096,19337.2,21706.3,46,20595.6,23630.1,14694,711,7441,4252,skewed_2
65535,169096,19337.2,21706.3,17648,19492.5,21753.7,40816,65752,43062,9929,vector
65535,169096,19337.2,21706.3,240934,19336.5,21696.3,283296,232563,584781,52379,vector
65535,169096,19337.2,21706.3,3018,19249.9,21904.1,19412,18520,15855,5767,vector
65535,169096,19337.2,21706.3,898,18996.5,21566.9,16776,7467,9670,5147,vector
65535,169096,19337.2,21706.3,2665,19475.2,21946.2,19066,16720,14845,5782,vector
65535,169096,19337.2,21706.3,169096,19337.2,21706.3,197331,197181,157824,34646,vector
65535,169096,19337.2,21706.3,20745,19371.4,21774.3,45168,78777,58459,10672,vector
65535,169096,19337.2,21706.3,51,19446.5,22337.2,14941,929,7592,5258,skewed_2
65535,169096,19337.2,21706.3,5520,19426,21763.8,23185,26557,20819,6298,vector
65535,169096,19337.2,21706.3,140605,19327.8,21687.7,225192,230042,509533,34936,vector
65535,169096,19337.2,21706.3,2628,20020.4,22096.8,19150,18517,14812,5713,vector
65535,169096,19337.2,21706.3,250780,19328.8,21691.7,284312,233025,582995,106848,vector
65535,169096,19337.2,21706.3,301987,19329,21683.5,258377,235306,785940,62291,vector
65535,169096,19337.2,21706.3,312765,19327.4,21681.3,253868,240226,784859,63513,vector
65535,169096,19337.2,21706.3,409,18891.1,21607.2,16078,4133,8851,4566,skewed_2
65535,169096,19337.2,21706.3,10629,19411.2,21636,30190,46971,34820,7720,vector
65535,169096,19337.2,21706.3,3376,19271.5,21617.6,20435,20283,16227,5781,vector
65535,169096,19337.2,21706.3,1969,19674,21998.6,18462,13403,12966,5783,vector
65535,169096,19337.2,21706.3,1422,18971.7,21332.3,17604,10895,11664,5927,vector
65535,169096,19337.2,21706.3,898,18996.5,21566.9,16689,7335,9721,5307,vector
65535,169096,19337.2,21706.3,312765,19327.4,21681.3,251425,240583,803571,63328,vector
65535,169096,19337.2,21706.3,59,17259.6,21337.8,15363,751,7928,15202,skewed_2
65535,169096,19337.2,21706.3,11492,19266.7,21695.8,31400,48946,40309,8010,vector
65535,169096,19337.2,21706.3,4877,19205.5,21700.6,22565,26242,20861,6055,vector
65535,169096,19337.2,21706.3,4014,19521.4,21856,21489,22569,19083,5894,vector
65535,169096,19337.2,21706.3,20745,19371.4,21774.3,46141,78058,59341,10675,vector
65535,169096,19337.2,21706.3,108,18207.6,20618.4,14049,1951,8229,4644,skewed_2
65535,169096,19337.2,21706.3,166551,19344,21708.4,203661,203985,132824,29370,vector
65535,169096,19337.2,21706.3,2,2200,3109.86,1136,151,600,1114,skewed_2
65535,169096,19337.2,21706.3,2571,19162.6,21836,18948,16554,14193,5800,vector
65535,169096,19337.2,21706.3,2571,19162.6,21836,18678,14860,14106,5780,vector
65535,169096,19337.2,21706.3,3763,18832.8,21301,20809,20733,18307,5874,vector
65535,169096,19337.2,21706.3,5483,18968.8,21563.5,23193,28369,21807,6191,vector
65535,169096,19337.2,21706.3,5316,19285.6,21759.8,22195,26172,21486,6231,vector
65535,169096,19337.2,21706.3,7017,19371.7,21704.6,25437,36582,26126,6683,vector
65535,169096,19337.2,21706.3,4636,19684.2,21852.8,21872,28356,18559,6006,vector
65535,169096,19337.2,21706.3,79417,19334.9,21668.4,128023,172739,355276,23909,vector
65535,169096,19337.2,21706.3,732,20160.8,22194.3,16695,6712,9911,4867,vector
