range,n1,average1,std1,n2,average2,std2,skewed_1,skewed_2,non_skewed,fastest_algo
65535,169096,19337.2,21706.3,169096,19337.2,21706.3,4121,1989,155089,skewed_2
65535,169096,19337.2,21706.3,46,20595.6,23630.1,40227,435,14220,skewed_2
65535,169096,19337.2,21706.3,17648,19492.5,21753.7,2903,594,40951,skewed_2
65535,169096,19337.2,21706.3,240934,19336.5,21696.3,4087,2876,538484,skewed_2
65535,169096,19337.2,21706.3,3018,19249.9,21904.1,1867,673,20765,skewed_2
65535,169096,19337.2,21706.3,898,18996.5,21566.9,2195,317,16330,skewed_2
65535,169096,19337.2,21706.3,2665,19475.2,21946.2,2475,338,20072,skewed_2
65535,169096,19337.2,21706.3,169096,19337.2,21706.3,3305,2114,155165,skewed_2
65535,169096,19337.2,21706.3,20745,19371.4,21774.3,3757,554,53260,skewed_2
65535,169096,19337.2,21706.3,51,19446.5,22337.2,36079,211,14584,skewed_2
65535,169096,19337.2,21706.3,5520,19426,21763.8,2275,365,23510,skewed_2
65535,169096,19337.2,21706.3,140605,19327.8,21687.7,5775,2030,476400,skewed_2
65535,169096,19337.2,21706.3,2628,20020.4,22096.8,2322,572,20375,skewed_2
65535,169096,19337.2,21706.3,250780,19328.8,21691.7,3600,2981,536718,skewed_2
65535,169096,19337.2,21706.3,301987,19329,21683.5,5287,3988,765995,skewed_2
65535,169096,19337.2,21706.3,312765,19327.4,21681.3,4441,3594,760852,skewed_2
65535,169096,19337.2,21706.3,409,18891.1,21607.2,2327,222,16027,skewed_2
65535,169096,19337.2,21706.3,10629,19411.2,21636,2725,427,35141,skewed_2
65535,169096,19337.2,21706.3,3376,19271.5,21617.6,2247,317,21238,skewed_2
65535,169096,19337.2,21706.3,1969,19674,21998.6,2583,330,18940,skewed_2
65535,169096,19337.2,21706.3,1422,18971.7,21332.3,4107,229,17829,skewed_2
65535,169096,19337.2,21706.3,898,18996.5,21566.9,1917,203,16368,skewed_2
65535,169096,19337.2,21706.3,312765,19327.4,21681.3,4679,4232,766606,skewed_2
65535,169096,19337.2,21706.3,59,17259.6,21337.8,36995,253,15249,skewed_2
65535,169096,19337.2,21706.3,11492,19266.7,21695.8,2719,987,38424,skewed_2
65535,169096,19337.2,21706.3,4877,19205.5,21700.6,2756,389,24025,skewed_2
65535,169096,19337.2,21706.3,4014,19521.4,21856,2939,345,22453,skewed_2
65535,169096,19337.2,21706.3,20745,19371.4,21774.3,3573,486,52418,skewed_2
65535,169096,19337.2,21706.3,108,18207.6,20618.4,1250,160,15502,skewed_2
65535,169096,19337.2,21706.3,166551,19344,21708.4,4619,2011,163593,skewed_2
65535,169096,19337.2,21706.3,2,2200,3109.86,2638,178,1099,skewed_2
65535,169096,19337.2,21706.3,2571,19162.6,21836,2290,250,19588,skewed_2
65535,169096,19337.2,21706.3,2571,19162.6,21836,2270,296,19976,skewed_2
65535,169096,19337.2,21706.3,3763,18832.8,21301,2195,336,21896,skewed_2
65535,169096,19337.2,21706.3,5483,18968.8,21563.5,2712,344,25740,skewed_2
65535,169096,19337.2,21706.3,5316,19285.6,21759.8,2800,330,24158,skewed_2
65535,169096,19337.2,21706.3,7017,19371.7,21704.6,2636,380,27883,skewed_2
65535,169096,19337.2,21706.3,4636,19684.2,21852.8,2124,326,21754,skewed_2
65535,169096,19337.2,21706.3,79417,19334.9,21668.4,3286,1336,323551,skewed_2
65535,169096,19337.2,21706.3,732,20160.8,22194.3,1872,302,16692,skewed_2
65535,169096,19337.2,21706.3,16206,19359.8,21733.6,3089,574,45500,skewed_2
65535,169096,19337.2,21706.3,86,18488.5,21338,40762,203,14675,skewed_2
65535,169096,19337.2,21706.3,5478,19207.8,21642.9,2577,360,25015,skewed_2
65535,169096,19337.2,21706.3,3,8564.33,13587.3,14260,238,5704,skewed_2
