range, n1 , average1, std1, n2 , average2, std2, skewed_1, skewed_2, non_skewed
28327, 2, 14164.5, 20030.2, 2, 14164.5, 20030.2, 3157, 77, 145
52667, 2, 14164.5, 20030.2, 2, 26345.5, 37225.6, 165, 62, 83
65515, 2, 14164.5, 20030.2, 116, 16351.8, 20586.5, 140, 981, 33
59656, 2, 14164.5, 20030.2, 46, 10948.5, 16851.2, 99, 357, 93
28327, 2, 14164.5, 20030.2, 2, 3511.5, 4898.13, 107, 74, 51
64928, 2, 14164.5, 20030.2, 11746, 14856, 20668.9, 464, 40641, 68
28327, 2, 14164.5, 20030.2, 4, 7006.25, 8080.88, 62, 91, 72
28903, 2, 14164.5, 20030.2, 4, 12966.2, 15134.2, 118, 74, 67
62440, 2, 14164.5, 20030.2, 4264, 17412.5, 21843.5, 422, 14972, 465
43817, 2, 14164.5, 20030.2, 2, 21928, 30957.1, 50, 69, 44
52941, 2, 14164.5, 20030.2, 28, 18221.6, 20979.5, 148, 214, 42
28327, 2, 14164.5, 20030.2, 2, 7182.5, 10113.7, 48, 66, 49
64567, 2, 14164.5, 20030.2, 38, 18329.6, 22951.1, 128, 370, 54
53768, 2, 14164.5, 20030.2, 4, 20450.8, 25810.1, 51, 95, 62
49468, 2, 14164.5, 20030.2, 12, 14935.9, 18658.4, 82, 164, 55
65365, 2, 14164.5, 20030.2, 2482, 16127, 21149.6, 270, 138, 44
54060, 2, 14164.5, 20030.2, 2, 27049, 38200.7, 58, 68, 45
65535, 2, 14164.5, 20030.2, 206772, 16737.4, 22293.2, 693, 748862, 104
28327, 2, 14164.5, 20030.2, 2, 881, 1217.64, 49, 62, 67
65465, 2, 14164.5, 20030.2, 30, 10964.1, 18595.3, 112, 252, 50
59308, 2, 14164.5, 20030.2, 42, 17606.2, 21380.5, 123, 248, 34
31419, 2, 14164.5, 20030.2, 2, 15733, 22184.8, 58, 56, 32
65531, 2, 14164.5, 20030.2, 4599, 18069.8, 21911.3, 327, 702, 314
31610, 2, 14164.5, 20030.2, 6402, 15037, 14989.4, 511, 21289, 33
63974, 2, 14164.5, 20030.2, 2573, 15504.4, 20469.1, 234, 122, 39
53752, 2, 14164.5, 20030.2, 14, 13846.9, 18971, 69, 144, 61
59623, 2, 14164.5, 20030.2, 28, 17413.1, 21544.3, 73, 188, 34
64835, 2, 14164.5, 20030.2, 4236, 17233.5, 22127.7, 196, 160, 33
64665, 2, 14164.5, 20030.2, 40, 16746, 22160.9, 122, 289, 43
28327, 2, 14164.5, 20030.2, 4, 7870.5, 9561.25, 51, 71, 56
28327, 2, 14164.5, 20030.2, 2, 1319.5, 1822.21, 37, 55, 61
32434, 2, 14164.5, 20030.2, 8, 9172.5, 11884.1, 105, 86, 33
28327, 2, 14164.5, 20030.2, 1, 15697, -nan, 50, 109, 66
55943, 2, 14164.5, 20030.2, 20, 16030.5, 20414, 93, 206, 88
64932, 2, 14164.5, 20030.2, 14, 22757.9, 28545.8, 99, 114, 33
38530, 2, 14164.5, 20030.2, 4, 12590.8, 18154.1, 51, 68, 32
65530, 2, 14164.5, 20030.2, 167, 18561.6, 23257, 142, 169, 58
34500, 2, 14164.5, 20030.2, 2, 17270, 24368.3, 46, 49, 32
64813, 2, 14164.5, 20030.2, 441, 16176.9, 20532.7, 600, 124, 42
28327, 2, 14164.5, 20030.2, 2, 12079.5, 16998.1, 39, 57, 47
65535, 2, 14164.5, 20030.2, 142090, 15727.5, 20550.9, 641, 468914, 58259
51023, 2, 14164.5, 20030.2, 6, 19810.5, 23638.8, 106, 101, 62
41634, 2, 14164.5, 20030.2, 2, 20842.5, 29405, 108, 47, 50
64809, 2, 14164.5, 20030.2, 22, 14477.8, 19836.6, 100, 158, 33
64952, 2, 14164.5, 20030.2, 1028, 17054.9, 20938.4, 254, 3931, 126
55194, 2, 14164.5, 20030.2, 10, 19987.2, 24393.8, 139, 76, 44
64047, 2, 14164.5, 20030.2, 2, 32043, 45261.9, 46, 46, 33
52536, 2, 14164.5, 20030.2, 6, 15083.8, 21991.6, 72, 61, 34
65109, 2, 14164.5, 20030.2, 2, 32571.5, 46016.4, 39, 45, 34
62631, 2, 14164.5, 20030.2, 2, 31330.5, 44267, 39, 45, 33
28327, 2, 14164.5, 20030.2, 2, 569.5, 782.767, 49, 67, 58
64048, 2, 14164.5, 20030.2, 3555, 18066.8, 22332.9, 288, 956, 498
47687, 2, 14164.5, 20030.2, 1, 47688, -nan, 51, 102, 48
53803, 2, 14164.5, 20030.2, 24, 14635.5, 18768.8, 96, 168, 34
65353, 2, 14164.5, 20030.2, 1993, 15949.1, 20350.1, 349, 83, 41
63523, 2, 14164.5, 20030.2, 16, 17469.2, 24934.8, 167, 148, 34
64327, 2, 14164.5, 20030.2, 185, 17218.3, 21130, 208, 178, 78
64412, 2, 14164.5, 20030.2, 15535, 18355.7, 22350.6, 336, 1776, 966
28327, 2, 14164.5, 20030.2, 2, 10449.5, 14722.7, 63, 59, 50
50058, 2, 14164.5, 20030.2, 2, 25035, 35389.3, 39, 57, 33
30842, 2, 14164.5, 20030.2, 6, 10497.7, 12728.8, 86, 68, 33
28327, 2, 14164.5, 20030.2, 60, 5481.25, 5522.47, 205, 279, 163
28327, 2, 14164.5, 20030.2, 2, 3673.5, 5178.14, 50, 53, 48
30341, 2, 14164.5, 20030.2, 8, 7558.88, 11280.9, 55, 86, 59
28327, 2, 14164.5, 20030.2, 2, 13252, 18666.2, 51, 56, 42
65061, 2, 14164.5, 20030.2, 595, 18843.9, 23027.4, 190, 109, 55
28327, 2, 14164.5, 20030.2, 2, 11394, 16048.5, 49, 57, 55
28327, 2, 14164.5, 20030.2, 6, 5515.5, 6036.45, 45, 66, 58
28327, 2, 14164.5, 20030.2, 14, 7035.07, 9000.54, 70, 131, 64
35128, 2, 14164.5, 20030.2, 2, 17581, 24816.6, 49, 56, 45
