range,n1,average1,std1,n2,average2,std2,skewed_1,skewed_2,non_skewed,vector,fastest_algo
29561,2,14787.5,20902.8,2,14787.5,20902.8,184,38,53,115,skewed_2
57663,2,14787.5,20902.8,2,28842,40768.9,67,54,54,53,vector
64162,2,14787.5,20902.8,24,19620.2,23150.6,77,65,60,57,vector
65080,2,14787.5,20902.8,546,16033.7,20633.6,53,58,59,48,vector
29561,2,14787.5,20902.8,6,6690.67,8233.69,51,60,64,64,skewed_1
29561,2,14787.5,20902.8,2,13220,18625.2,49,40,40,27,vector
34234,2,14787.5,20902.8,2,17350.5,23886.8,30,36,34,35,skewed_1
32444,2,14787.5,20902.8,6,16126.5,17137.1,20,21,19,21,non_skewed
29561,2,14787.5,20902.8,2,5145,6564.78,33,26,27,20,vector
48398,2,14787.5,20902.8,16,16887.1,19752.2,30,21,20,20,non_skewed
35133,2,14787.5,20902.8,2,17820,24494.2,27,22,19,20,non_skewed
65107,2,14787.5,20902.8,113,17563.8,21861.6,46,39,26,36,non_skewed
63930,2,14787.5,20902.8,152,16258.9,20920,38,27,19,32,non_skewed
49672,2,14787.5,20902.8,12,17649.3,20283.5,37,27,25,20,vector
61007,2,14787.5,20902.8,2,30554,43076.9,20,20,19,20,non_skewed
60876,2,14787.5,20902.8,12,16798.9,22341.3,62,44,44,38,vector
65164,2,14787.5,20902.8,24,21626.3,25527.8,28,21,19,19,non_skewed
55302,2,14787.5,20902.8,2,27904.5,38755.8,29,21,19,20,non_skewed
29561,2,14787.5,20902.8,2,10994,15482.8,38,27,19,20,non_skewed
29561,2,14787.5,20902.8,6,3367.17,3711.98,37,34,41,36,skewed_2
64919,2,14787.5,20902.8,4,26436.5,31950.3,38,19,27,31,skewed_2
65320,2,14787.5,20902.8,151,16865.7,21283.8,51,40,38,33,vector
29561,2,14787.5,20902.8,4,4330,7037.48,50,37,36,33,vector
40268,2,14787.5,20902.8,6,14623.3,16967.9,36,21,26,20,vector
62090,2,14787.5,20902.8,24,17164.2,19884.5,73,53,39,55,non_skewed
40196,2,14787.5,20902.8,2,20307.5,28136.5,35,19,19,20,skewed_2
54985,2,14787.5,20902.8,2,27614.5,38717.6,21,20,19,21,non_skewed
29561,2,14787.5,20902.8,2,2555.5,3544.73,51,29,27,22,vector
60122,2,14787.5,20902.8,6,29781,32094.5,31,22,23,23,skewed_2
65500,2,14787.5,20902.8,5506,16259.4,20751.4,49,37,30,32,non_skewed
61916,2,14787.5,20902.8,16,28133.2,29567.1,30,21,19,20,non_skewed
29561,2,14787.5,20902.8,2,9807.5,13287.2,40,20,21,22,skewed_2
36507,2,14787.5,20902.8,20,14666.3,17260.4,22,21,20,21,non_skewed
29561,2,14787.5,20902.8,2,10345.5,14380.4,40,21,19,22,non_skewed
64608,2,14787.5,20902.8,78,17313.6,21855.6,37,21,20,22,non_skewed
29561,2,14787.5,20902.8,6,2772.33,2488.12,50,35,27,30,non_skewed
29561,2,14787.5,20902.8,2,6064,7973.34,30,32,20,33,non_skewed
65391,2,14787.5,20902.8,152,16850.7,21358.8,42,37,20,27,non_skewed
29561,2,14787.5,20902.8,8,7335.62,8131.64,33,39,53,43,skewed_1
29561,2,14787.5,20902.8,2,5922.5,8312.04,28,21,19,20,non_skewed
65043,2,14787.5,20902.8,14,25785.1,28563.6,31,20,19,19,non_skewed
65134,2,14787.5,20902.8,152,16868,21350,70,59,34,56,non_skewed
40641,2,14787.5,20902.8,4,19747.2,22265.3,29,20,19,20,non_skewed
29561,2,14787.5,20902.8,2,3683.5,4562.96,30,21,26,20,vector
59441,2,14787.5,20902.8,6,20846.8,29957.4,40,21,18,21,non_skewed
59702,2,14787.5,20902.8,6,20742.8,24431.1,29,19,19,20,skewed_2
65378,2,14787.5,20902.8,176,16993.8,21924.9,31,20,19,19,non_skewed
44352,2,14787.5,20902.8,4,14505.8,20898,30,22,19,21,non_skewed
64891,2,14787.5,20902.8,152,16458,21105.8,31,36,19,26,non_skewed
52186,2,14787.5,20902.8,4,26346.8,29842.9,31,20,19,19,non_skewed
65527,2,14787.5,20902.8,1237,16806.5,21365.3,38,22,20,21,non_skewed
29561,2,14787.5,20902.8,2,3830.5,5354.92,27,20,19,20,non_skewed
64041,2,14787.5,20902.8,20,29101.1,30111.2,38,20,19,20,non_skewed
29561,2,14787.5,20902.8,2,9782.5,13823.2,26,21,19,20,non_skewed
60690,2,14787.5,20902.8,2,30407.5,42835.8,34,32,20,30,non_skewed
63488,2,14787.5,20902.8,2,31997.5,44544.2,32,20,19,21,non_skewed
59738,2,14787.5,20902.8,2,29905.5,42199.4,29,20,19,19,non_skewed
61136,2,14787.5,20902.8,40,15270,20902.8,37,20,19,20,non_skewed
38931,2,14787.5,20902.8,2,19492,27500.8,29,20,19,20,non_skewed
35979,2,14787.5,20902.8,2,18205,25146.1,19,19,19,21,skewed_1
39125,2,14787.5,20902.8,2,19588,27639.4,23,20,18,20,non_skewed
45039,2,14787.5,20902.8,8,12914.9,18821.9,87,52,56,48,vector
29561,2,14787.5,20902.8,2,5549,7133.29,33,20,19,20,non_skewed
62789,2,14787.5,20902.8,6,17817.3,26549.4,48,22,20,28,non_skewed
29561,2,14787.5,20902.8,2,8853,12329.1,36,31,18,20,non_skewed
62470,2,14787.5,20902.8,2,31323.5,44057.7,36,21,19,19,non_skewed
29561,2,14787.5,20902.8,2,7066,9281.48,31,20,18,21,non_skewed
