range,n1,average1,std1,n2,average2,std2,skewed_1,skewed_2,non_skewed,fastest_algo
29561,2,14787.5,20902.8,2,14787.5,20902.8,302,54,54,skewed_2
57663,2,14787.5,20902.8,2,28842,40768.9,73,60,55,non_skewed
64162,2,14787.5,20902.8,24,19620.2,23150.6,67,163,58,non_skewed
65080,2,14787.5,20902.8,546,16033.7,20633.6,68,963,59,non_skewed
29561,2,14787.5,20902.8,6,6690.67,8233.69,48,54,39,non_skewed
29561,2,14787.5,20902.8,2,13220,18625.2,49,43,35,non_skewed
34234,2,14787.5,20902.8,2,17350.5,23886.8,26,39,29,skewed_1
32444,2,14787.5,20902.8,6,16126.5,17137.1,44,60,26,non_skewed
29561,2,14787.5,20902.8,2,5145,6564.78,29,36,29,skewed_1
48398,2,14787.5,20902.8,16,16887.1,19752.2,37,101,19,non_skewed
35133,2,14787.5,20902.8,2,17820,24494.2,39,24,20,non_skewed
65107,2,14787.5,20902.8,113,17563.8,21861.6,58,75,31,non_skewed
63930,2,14787.5,20902.8,152,16258.9,20920,69,380,46,non_skewed
49672,2,14787.5,20902.8,12,17649.3,20283.5,39,78,26,non_skewed
61007,2,14787.5,20902.8,2,30554,43076.9,24,48,20,non_skewed
60876,2,14787.5,20902.8,12,16798.9,22341.3,39,88,36,non_skewed
65164,2,14787.5,20902.8,24,21626.3,25527.8,37,112,19,non_skewed
55302,2,14787.5,20902.8,2,27904.5,38755.8,30,24,19,non_skewed
29561,2,14787.5,20902.8,2,10994,15482.8,33,32,30,non_skewed
29561,2,14787.5,20902.8,6,3367.17,3711.98,36,59,38,skewed_1
64919,2,14787.5,20902.8,4,26436.5,31950.3,45,50,19,non_skewed
65320,2,14787.5,20902.8,151,16865.7,21283.8,53,85,38,non_skewed
29561,2,14787.5,20902.8,4,4330,7037.48,48,62,29,non_skewed
40268,2,14787.5,20902.8,6,14623.3,16967.9,43,56,27,non_skewed
62090,2,14787.5,20902.8,24,17164.2,19884.5,37,105,35,non_skewed
40196,2,14787.5,20902.8,2,20307.5,28136.5,29,24,25,skewed_2
54985,2,14787.5,20902.8,2,27614.5,38717.6,29,25,18,non_skewed
29561,2,14787.5,20902.8,2,2555.5,3544.73,33,24,23,non_skewed
60122,2,14787.5,20902.8,6,29781,32094.5,37,64,19,non_skewed
65500,2,14787.5,20902.8,5506,16259.4,20751.4,69,9957,37,non_skewed
61916,2,14787.5,20902.8,16,28133.2,29567.1,36,85,19,non_skewed
29561,2,14787.5,20902.8,2,9807.5,13287.2,36,23,30,skewed_2
36507,2,14787.5,20902.8,20,14666.3,17260.4,36,79,20,non_skewed
29561,2,14787.5,20902.8,2,10345.5,14380.4,28,24,25,skewed_2
64608,2,14787.5,20902.8,78,17313.6,21855.6,40,175,19,non_skewed
29561,2,14787.5,20902.8,6,2772.33,2488.12,39,53,37,non_skewed
29561,2,14787.5,20902.8,2,6064,7973.34,29,26,19,non_skewed
65391,2,14787.5,20902.8,152,16850.7,21358.8,46,372,31,non_skewed
29561,2,14787.5,20902.8,8,7335.62,8131.64,41,53,42,skewed_1
29561,2,14787.5,20902.8,2,5922.5,8312.04,26,25,19,non_skewed
65043,2,14787.5,20902.8,14,25785.1,28563.6,35,58,20,non_skewed
65134,2,14787.5,20902.8,152,16868,21350,65,317,41,non_skewed
40641,2,14787.5,20902.8,4,19747.2,22265.3,33,51,19,non_skewed
29561,2,14787.5,20902.8,2,3683.5,4562.96,28,24,18,non_skewed
59441,2,14787.5,20902.8,6,20846.8,29957.4,40,54,39,non_skewed
59702,2,14787.5,20902.8,6,20742.8,24431.1,38,37,19,non_skewed
65378,2,14787.5,20902.8,176,16993.8,21924.9,52,418,19,non_skewed
44352,2,14787.5,20902.8,4,14505.8,20898,35,52,37,skewed_1
64891,2,14787.5,20902.8,152,16458,21105.8,49,313,32,non_skewed
52186,2,14787.5,20902.8,4,26346.8,29842.9,36,43,19,non_skewed
65527,2,14787.5,20902.8,1237,16806.5,21365.3,67,90,37,non_skewed
