range,n1,average1,std1,n2,average2,std2,skewed_1,skewed_2,non_skewed,vector,fastest_algo
65534,197564,16629.1,21001.3,197564,16629.1,21001.3,254940,225195,135579,39720,vector
65534,197564,16629.1,21001.3,13256,16425.4,20910.7,7535,10816,14199,7257,vector
65534,197564,16629.1,21001.3,251,16618.1,21151.1,3497,453,1968,1179,skewed_2
65534,197564,16629.1,21001.3,423,16452.1,21014.8,3557,1157,2114,659,vector
65534,197564,16629.1,21001.3,5310,17053.8,21115.9,4877,6178,6321,2007,vector
65534,197564,16629.1,21001.3,1561,17449,21502.8,4077,3088,3095,1333,vector
65534,197564,16629.1,21001.3,7747,16634.6,21170.1,5811,7496,9667,2387,vector
65534,197564,16629.1,21001.3,3428,16929.1,21398.3,4819,4354,4931,5677,skewed_2
65534,197564,16629.1,21001.3,2139,15643.7,20574.5,3884,2362,3355,1292,vector
65535,197564,16629.1,21001.3,255502,16705,21163.2,66667,47129,318263,67321,skewed_2
65534,197564,16629.1,21001.3,389,16721.8,21048.1,3715,815,2164,658,vector
65534,197564,16629.1,21001.3,1665,16242.8,20699.8,4072,2355,3258,1070,vector
65534,197564,16629.1,21001.3,47422,16671.2,21111.9,17176,24750,38373,12928,vector
65534,197564,16629.1,21001.3,434,16740,21412.9,3476,1268,2262,1194,vector
65535,197564,16629.1,21001.3,203042,16553.7,21025.7,46930,73252,231225,58086,skewed_1
65534,197564,16629.1,21001.3,29794,16517.7,20978,10923,14955,23400,10134,vector
65534,197564,16629.1,21001.3,16650,16349.9,20855,7799,11149,15003,7537,vector
65534,197564,16629.1,21001.3,16650,16349.9,20855,7686,9584,14562,7469,vector
65534,197564,16629.1,21001.3,197564,16629.1,21001.3,225847,225140,180193,39531,vector
65535,197564,16629.1,21001.3,131331,16661.7,21053.2,37643,73440,131949,26840,vector
65535,197564,16629.1,21001.3,81094,16647.5,20996,25390,38632,116159,35418,skewed_1
65534,197564,16629.1,21001.3,3806,8989.5,8992.08,1618,3803,4412,1150,vector
65535,197564,16629.1,21001.3,188809,16531.8,20963,44983,132734,124643,31522,vector
65534,197564,16629.1,21001.3,42800,16567.8,21074.9,15505,36300,60644,12104,vector
65534,197564,16629.1,21001.3,108226,16697.2,21074,31946,36691,163883,22882,vector
65534,197564,16629.1,21001.3,188,16587.9,21364.4,2603,674,2024,1125,skewed_2
65534,197564,16629.1,21001.3,48446,16667.3,21014.5,32533,22112,67335,12931,vector
65534,197564,16629.1,21001.3,168,16403.2,20545.7,3507,503,1912,1092,skewed_2
65534,197564,16629.1,21001.3,378,16156.3,20589.2,3248,750,2214,1180,skewed_2
65535,197564,16629.1,21001.3,499585,16626.2,21049.8,82262,75962,469908,85902,skewed_2
65534,197564,16629.1,21001.3,65746,16751.1,21147.2,22049,36310,96370,16169,vector
65534,197564,16629.1,21001.3,255,16769.4,21213.7,3251,1017,2096,857,vector
65534,197564,16629.1,21001.3,249,15939.6,20803.3,3227,747,1976,1646,skewed_2
65534,197564,16629.1,21001.3,31577,16453.5,20863.5,12408,20504,41655,6441,vector
65534,197564,16629.1,21001.3,197564,16629.1,21001.3,226515,225137,180203,39521,vector
65534,197564,16629.1,21001.3,459,16771.6,21221,3669,1135,2277,638,vector
65535,197564,16629.1,21001.3,1749744,16655.9,21067.6,106578,142824,536551,292505,skewed_1
65534,197564,16629.1,21001.3,7747,16634.6,21170.1,5734,8086,9747,2342,vector
65534,197564,16629.1,21001.3,73888,16762,21264.8,19438,28583,99046,16907,vector
65534,197564,16629.1,21001.3,47373,16777.6,21172.9,13629,20408,88272,8855,vector
65535,197564,16629.1,21001.3,1434753,16577.3,21012.1,121806,85279,433287,242033,skewed_2
