range,n1,average1,std1,n2,average2,std2,skewed_1,skewed_2,non_skewed,fastest_algo
65534,197564,16629.1,21001.3,197564,16629.1,21001.3,9738,4846,220100,skewed_2
65534,197564,16629.1,21001.3,13256,16425.4,20910.7,5625,1423,10834,skewed_2
65534,197564,16629.1,21001.3,251,16618.1,21151.1,2953,619,3709,skewed_2
65534,197564,16629.1,21001.3,423,16452.1,21014.8,4335,687,3773,skewed_2
65534,197564,16629.1,21001.3,5310,17053.8,21115.9,5691,736,6354,skewed_2
65534,197564,16629.1,21001.3,1561,17449,21502.8,4796,940,4314,skewed_2
65534,197564,16629.1,21001.3,7747,16634.6,21170.1,5339,962,8030,skewed_2
65534,197564,16629.1,21001.3,3428,16929.1,21398.3,5068,1019,5506,skewed_2
65534,197564,16629.1,21001.3,2139,15643.7,20574.5,4912,648,4559,skewed_2
65535,197564,16629.1,21001.3,255502,16705,21163.2,9792,5425,321401,skewed_2
65534,197564,16629.1,21001.3,389,16721.8,21048.1,4415,741,3796,skewed_2
65534,197564,16629.1,21001.3,1665,16242.8,20699.8,5208,865,4745,skewed_2
65534,197564,16629.1,21001.3,47422,16671.2,21111.9,8046,2153,29529,skewed_2
65534,197564,16629.1,21001.3,434,16740,21412.9,4217,531,3914,skewed_2
65535,197564,16629.1,21001.3,203042,16553.7,21025.7,10262,4493,226499,skewed_2
65534,197564,16629.1,21001.3,29794,16517.7,20978,7566,1820,17759,skewed_2
65534,197564,16629.1,21001.3,16650,16349.9,20855,6189,1098,12103,skewed_2
65534,197564,16629.1,21001.3,16650,16349.9,20855,5946,897,11461,skewed_2
65534,197564,16629.1,21001.3,197564,16629.1,21001.3,9219,5357,185062,skewed_2
65535,197564,16629.1,21001.3,131331,16661.7,21053.2,6900,3757,112800,skewed_2
65535,197564,16629.1,21001.3,81094,16647.5,20996,7810,3015,107075,skewed_2
65534,197564,16629.1,21001.3,3806,8989.5,8992.08,3231,41989,4012,skewed_1
65535,197564,16629.1,21001.3,188809,16531.8,20963,7744,4538,90067,skewed_2
65534,197564,16629.1,21001.3,42800,16567.8,21074.9,5400,2168,62454,skewed_2
65534,197564,16629.1,21001.3,108226,16697.2,21074,7027,3615,165559,skewed_2
65534,197564,16629.1,21001.3,188,16587.9,21364.4,2836,2752,3735,skewed_2
65534,197564,16629.1,21001.3,48446,16667.3,21014.5,6649,2056,65641,skewed_2
65534,197564,16629.1,21001.3,168,16403.2,20545.7,5345,2221,3576,skewed_2
65534,197564,16629.1,21001.3,378,16156.3,20589.2,4101,462,3793,skewed_2
65535,197564,16629.1,21001.3,499585,16626.2,21049.8,9438,11881,445360,skewed_1
65534,197564,16629.1,21001.3,65746,16751.1,21147.2,6744,2670,87002,skewed_2
65534,197564,16629.1,21001.3,255,16769.4,21213.7,4607,662,3841,skewed_2
65534,197564,16629.1,21001.3,249,15939.6,20803.3,4172,693,3678,skewed_2
65534,197564,16629.1,21001.3,31577,16453.5,20863.5,6569,1685,39954,skewed_2
65534,197564,16629.1,21001.3,197564,16629.1,21001.3,9463,5444,186076,skewed_2
65534,197564,16629.1,21001.3,459,16771.6,21221,4481,572,3887,skewed_2
65535,197564,16629.1,21001.3,1749744,16655.9,21067.6,9423,35294,605735,skewed_1
65534,197564,16629.1,21001.3,7747,16634.6,21170.1,5737,1045,8139,skewed_2
65534,197564,16629.1,21001.3,73888,16762,21264.8,5343,2395,88907,skewed_2
65534,197564,16629.1,21001.3,47373,16777.6,21172.9,7449,1951,101685,skewed_2
65535,197564,16629.1,21001.3,1434753,16577.3,21012.1,9677,36533,491045,skewed_1
65535,197564,16629.1,21001.3,92535,16663.5,21065.6,6375,2851,97753,skewed_2
65534,197564,16629.1,21001.3,4876,17785.5,20945.4,5303,1648,9898,skewed_2
65534,197564,16629.1,21001.3,29803,16721.3,21094.2,5963,1620,20418,skewed_2
65535,197564,16629.1,21001.3,133473,16616.3,21076.2,6901,3763,187615,skewed_2
65535,197564,16629.1,21001.3,446607,16652.2,21123.9,7026,9047,449240,skewed_1
65534,197564,16629.1,21001.3,146,17242.5,21751.9,1627,2128,3969,skewed_1
65534,197564,16629.1,21001.3,10443,16808.9,21161.9,5471,1209,68128,skewed_2
65534,197564,16629.1,21001.3,73888,16762,21264.8,5598,2549,104931,skewed_2
65534,197564,16629.1,21001.3,172,16241.4,20725.8,3800,378,3644,skewed_2
65534,197564,16629.1,21001.3,2245,17115,21249.5,5524,1366,5559,skewed_2
65534,197564,16629.1,21001.3,103115,16633.6,21010.5,6705,3291,56343,skewed_2
65534,197564,16629.1,21001.3,6982,16532.3,21109.1,5237,1210,7287,skewed_2
65534,197564,16629.1,21001.3,19699,16595.7,21151.9,6230,1405,13186,skewed_2
65534,197564,16629.1,21001.3,4186,16717,20868.1,5152,748,13347,skewed_2
65534,197564,16629.1,21001.3,4028,27492.2,27488.7,8311,43446,7403,non_skewed
65534,197564,16629.1,21001.3,226,17309.6,21519.2,4544,2994,3781,skewed_2
65534,197564,16629.1,21001.3,233,16972.6,20952.4,3984,383,3596,skewed_2
65534,197564,16629.1,21001.3,9934,13142.5,13167.3,5377,84575,9751,skewed_1
65534,197564,16629.1,21001.3,278,16119.2,20537,4684,2046,3722,skewed_2
65534,197564,16629.1,21001.3,11844,16628.1,21155.6,5621,970,9824,skewed_2
65535,197564,16629.1,21001.3,17083,16625.2,21188.3,6360,1383,30089,skewed_2
65534,197564,16629.1,21001.3,29794,16517.7,20978,6886,1738,17942,skewed_2
65535,197564,16629.1,21001.3,530445,16886.4,21253.8,10717,3589,308159,skewed_2
65534,197564,16629.1,21001.3,55919,16789.3,21222.2,6390,1893,67868,skewed_2
65535,197564,16629.1,21001.3,203042,16553.7,21025.7,9868,4801,226254,skewed_2
65534,197564,16629.1,21001.3,3394,19531.3,22374.8,5151,1431,7757,skewed_2
65534,197564,16629.1,21001.3,42800,16567.8,21074.9,5267,1696,62149,skewed_2
65535,197564,16629.1,21001.3,530445,16886.4,21253.8,10088,3637,306654,skewed_2
65534,197564,16629.1,21001.3,14588,17150.3,20380.9,5533,1815,14889,skewed_2
65534,197564,16629.1,21001.3,451,17048,21430.6,4276,448,3790,skewed_2
65534,197564,16629.1,21001.3,29803,16721.3,21094.2,5810,1642,19294,skewed_2
65534,197564,16629.1,21001.3,55919,16789.3,21222.2,6176,1692,68934,skewed_2
65534,197564,16629.1,21001.3,88039,16640.4,21065.3,6962,3225,108789,skewed_2
65535,197564,16629.1,21001.3,1434753,16577.3,21012.1,9424,36495,490293,skewed_1
65534,197564,16629.1,21001.3,278,17093.7,21678.7,5902,3455,3853,skewed_2
65535,197564,16629.1,21001.3,96613,16755.1,21130.1,7074,3320,121680,skewed_2
65534,197564,16629.1,21001.3,246,16996.9,21074.6,4657,3190,3713,skewed_2
65534,197564,16629.1,21001.3,39873,16656.6,21057,5661,1860,24268,skewed_2
65534,197564,16629.1,21001.3,8178,16635.4,21038.6,6028,994,7592,skewed_2
65534,197564,16629.1,21001.3,25578,16662.7,21009.7,5816,1558,16545,skewed_2
65534,197564,16629.1,21001.3,703,16302,20772.4,4246,516,3830,skewed_2
65534,197564,16629.1,21001.3,197564,16629.1,21001.3,8678,5149,225997,skewed_2
65535,197564,16629.1,21001.3,530445,16886.4,21253.8,8927,3563,308462,skewed_2
65534,197564,16629.1,21001.3,175,17951.1,21771.2,3981,593,3689,skewed_2
65534,197564,16629.1,21001.3,4898,16903.4,21166,5122,1118,6342,skewed_2
65535,197564,16629.1,21001.3,190424,16533.4,20966,6528,4711,89895,skewed_2
65535,197564,16629.1,21001.3,1443329,16707.1,21108.2,13135,28268,495643,skewed_1
65534,197564,16629.1,21001.3,11040,16500.9,20916,5004,1090,9020,skewed_2
65534,197564,16629.1,21001.3,130,16943.1,21245.4,2838,334,3540,skewed_2
65534,197564,16629.1,21001.3,445,16921.6,21310.2,4561,747,3793,skewed_2
65534,197564,16629.1,21001.3,2078,16733.6,21468.5,5125,918,4715,skewed_2
65534,197564,16629.1,21001.3,28456,17700.6,21532.7,6049,1375,15805,skewed_2
65534,197564,16629.1,21001.3,36099,16448.5,20986.7,5872,1839,50951,skewed_2
65534,197564,16629.1,21001.3,68734,16603.9,21077.1,6439,2023,75444,skewed_2
65534,197564,16629.1,21001.3,162,17178.5,21446.8,3773,427,3674,skewed_2
65535,197564,16629.1,21001.3,97017,16618.4,20917.2,8627,3560,87346,skewed_2
65534,197564,16629.1,21001.3,73888,16762,21264.8,5876,2378,87389,skewed_2
65534,197564,16629.1,21001.3,445,16546.3,20997.4,4575,523,3740,skewed_2
65534,197564,16629.1,21001.3,91,14970.1,19824.2,224,590,3616,skewed_1
65534,197564,16629.1,21001.3,8880,17154.2,17178.1,5831,99968,8033,skewed_1
65534,197564,16629.1,21001.3,112507,16517.8,20958.6,8468,3258,112031,skewed_2
65534,197564,16629.1,21001.3,6542,14580,14586.4,5207,70596,6751,skewed_1
65534,197564,16629.1,21001.3,1198,18908.2,23072.1,4739,5957,5307,skewed_1
65534,197564,16629.1,21001.3,10443,16808.9,21161.9,5121,1121,33139,skewed_2
65534,197564,16629.1,21001.3,738,16811,21334.4,4560,538,3963,skewed_2
65534,197564,16629.1,21001.3,308,17528.4,21442.4,3916,3708,3641,non_skewed
65534,197564,16629.1,21001.3,48446,16667.3,21014.5,6702,1925,64992,skewed_2
65534,197564,16629.1,21001.3,10038,16514.5,16534.1,6271,115332,8916,skewed_1
65534,197564,16629.1,21001.3,11568,16545.6,21039.9,5847,19943,9818,skewed_1
65534,197564,16629.1,21001.3,46454,16625.6,21090.5,7147,1955,41986,skewed_2
65534,197564,16629.1,21001.3,42115,16639.5,21084.9,5595,1697,23642,skewed_2
65534,197564,16629.1,21001.3,103,14159.9,19406.1,3284,649,3670,skewed_2
65534,197564,16629.1,21001.3,89,14953.2,20220.8,3997,249,3519,skewed_2
65534,197564,16629.1,21001.3,863,16965.1,21318.4,5653,503,4026,skewed_2
65534,197564,16629.1,21001.3,7560,19842.2,19854.6,6081,84675,7371,skewed_1
65534,197564,16629.1,21001.3,7964,17171.7,20027.5,5442,1372,13287,skewed_2
65534,197564,16629.1,21001.3,27360,16477.9,20918.7,5461,1469,16514,skewed_2
65534,197564,16629.1,21001.3,32,12999.2,18763,1946,1182,3199,skewed_2
65534,197564,16629.1,21001.3,29794,16517.7,20978,7047,1642,17436,skewed_2
65534,197564,16629.1,21001.3,2014,17821.9,21435.7,4934,1265,6435,skewed_2
65534,197564,16629.1,21001.3,4082,14780,14773.7,5083,39302,4472,non_skewed
65534,197564,16629.1,21001.3,30356,16704.2,21035.6,6388,1535,20034,skewed_2
65534,197564,16629.1,21001.3,1997,16604.8,21082.1,4841,553,4548,skewed_2
65535,197564,16629.1,21001.3,1434753,16577.3,21012.1,9507,36395,563830,skewed_1
65534,197564,16629.1,21001.3,197564,16629.1,21001.3,9989,6216,259448,skewed_2
65534,197564,16629.1,21001.3,5898,16377.6,20754.4,5609,1291,7016,skewed_2
65534,197564,16629.1,21001.3,282,17216.3,21381.2,2106,369,3629,skewed_2
65534,197564,16629.1,21001.3,2626,15129.6,18655.6,4949,3840,8533,skewed_2
65534,197564,16629.1,21001.3,11863,16679.5,21171.2,5415,787,35170,skewed_2
65534,197564,16629.1,21001.3,7268,23587.8,23591,7437,78590,7398,non_skewed
65534,197564,16629.1,21001.3,5070,16450.3,20877.2,5402,685,6451,skewed_2
65535,197564,16629.1,21001.3,630099,16675.9,21113,7009,13249,501545,skewed_1
65535,197564,16629.1,21001.3,1749744,16655.9,21067.6,9382,35029,598846,skewed_1
65534,197564,16629.1,21001.3,42800,16567.8,21074.9,6077,2057,63998,skewed_2
65535,197564,16629.1,21001.3,72576,16659.4,21079.5,5240,2889,40333,skewed_2
65534,197564,16629.1,21001.3,8272,16788.4,21049,5006,1462,8370,skewed_2
65535,197564,16629.1,21001.3,171933,16608.6,21039.3,7396,4628,130611,skewed_2
65534,197564,16629.1,21001.3,58408,16806.7,21133.7,6257,2558,33981,skewed_2
65534,197564,16629.1,21001.3,29803,16721.3,21094.2,6174,1848,19458,skewed_2
65535,197564,16629.1,21001.3,862911,16726.2,21100.6,7599,17420,486942,skewed_1
65534,197564,16629.1,21001.3,88039,16640.4,21065.3,6785,3060,108796,skewed_2
65534,197564,16629.1,21001.3,108817,16634.7,20972.8,8200,3729,59564,skewed_2
65535,197564,16629.1,21001.3,41139,16795.6,21115.6,6126,2267,25728,skewed_2
65535,197564,16629.1,21001.3,1434753,16577.3,21012.1,9540,36397,484786,skewed_1
65534,197564,16629.1,21001.3,29803,16721.3,21094.2,6407,1904,19744,skewed_2
65534,197564,16629.1,21001.3,25578,16662.7,21009.7,6536,1598,16338,skewed_2
65535,197564,16629.1,21001.3,38884,16590.7,20989.4,6526,1926,24734,skewed_2
65534,197564,16629.1,21001.3,196,16946.3,21069.8,5644,2242,3644,skewed_2
65534,197564,16629.1,21001.3,180,19640.6,22776.7,3765,2464,3717,skewed_2
65534,197564,16629.1,21001.3,7280,16167.7,20900.9,4834,790,7813,skewed_2
65535,197564,16629.1,21001.3,499585,16626.2,21049.8,9406,11639,441077,skewed_1
65534,197564,16629.1,21001.3,444,16682.3,21069.3,4793,632,3826,skewed_2
65534,197564,16629.1,21001.3,413,15984.2,20559.2,4276,581,3906,skewed_2
65534,197564,16629.1,21001.3,5310,17053.8,21115.9,5547,816,6365,skewed_2
65534,197564,16629.1,21001.3,16014,16133.7,20629.2,5478,1301,11973,skewed_2
65534,197564,16629.1,21001.3,6982,16532.3,21109.1,5218,954,7441,skewed_2
65534,197564,16629.1,21001.3,7964,17171.7,20027.5,5268,1289,12632,skewed_2
65535,197564,16629.1,21001.3,131331,16661.7,21053.2,6831,3678,112991,skewed_2
65534,197564,16629.1,21001.3,73888,16762,21264.8,5330,2519,88058,skewed_2
65534,197564,16629.1,21001.3,1808,16738.9,20964.3,4579,925,4570,skewed_2
65534,197564,16629.1,21001.3,147,16844.6,20629.8,4015,578,3664,skewed_2
65534,197564,16629.1,21001.3,50,16025.7,20311,233,275,3553,skewed_1
65534,197564,16629.1,21001.3,47373,16777.6,21172.9,6913,1698,101864,skewed_2
65535,197564,16629.1,21001.3,1434753,16577.3,21012.1,9995,36447,523458,skewed_1
65534,197564,16629.1,21001.3,12983,16316.4,20978.8,5370,1436,10133,skewed_2
65534,197564,16629.1,21001.3,3622,17637.5,22304.5,5023,704,5927,skewed_2
65535,197564,16629.1,21001.3,136093,16558.2,21040.3,7950,3084,284550,skewed_2
65534,197564,16629.1,21001.3,6292,12727.8,12736,5052,67657,6739,skewed_1
65534,197564,16629.1,21001.3,258,16479.7,21051.5,4581,3303,3863,skewed_2
65534,197564,16629.1,21001.3,46454,16625.6,21090.5,6704,1834,24964,skewed_2
65534,197564,16629.1,21001.3,36587,16791.1,21268,5942,1141,99039,skewed_2
65534,197564,16629.1,21001.3,15771,16485.1,20844.7,6610,1151,12368,skewed_2
65534,197564,16629.1,21001.3,4,18412.8,29049.3,1642,177,3377,skewed_2
65534,197564,16629.1,21001.3,428,17726.3,21761.8,3955,497,4245,skewed_2
65534,197564,16629.1,21001.3,278,16457.8,20762.6,6074,3083,3696,skewed_2
65534,197564,16629.1,21001.3,51320,16586.9,21018.5,6156,1938,30216,skewed_2
65535,197564,16629.1,21001.3,203042,16553.7,21025.7,9961,4751,225619,skewed_2
65534,197564,16629.1,21001.3,103115,16633.6,21010.5,6549,3467,56336,skewed_2
65534,197564,16629.1,21001.3,108817,16634.7,20972.8,8523,3585,61214,skewed_2
65535,197564,16629.1,21001.3,81094,16647.5,20996,7180,2976,106346,skewed_2
65535,197564,16629.1,21001.3,50107,16606.1,21016.9,7548,2259,28438,skewed_2
65534,197564,16629.1,21001.3,167,16219,20646,4011,368,3703,skewed_2
65534,197564,16629.1,21001.3,687,16702,21160.9,4490,514,3844,skewed_2
65534,197564,16629.1,21001.3,21962,16723.7,21049.4,6334,1542,32771,skewed_2
65535,197564,16629.1,21001.3,186314,16654.8,21062.5,8614,5215,194697,skewed_2
65534,197564,16629.1,21001.3,20182,16794.2,21204.8,6939,1724,15362,skewed_2
65535,197564,16629.1,21001.3,188809,16531.8,20963,7345,4668,90238,skewed_2
65534,197564,16629.1,21001.3,1625,14074.9,19068.3,4319,746,5010,skewed_2
65535,197564,16629.1,21001.3,186314,16654.8,21062.5,9035,5198,195341,skewed_2
65534,197564,16629.1,21001.3,423,16506.3,21047.6,4488,535,3812,skewed_2
65534,197564,16629.1,21001.3,73,16169.6,20417.9,5371,357,3493,skewed_2
65534,197564,16629.1,21001.3,65746,16751.1,21147.2,6814,2520,86198,skewed_2
65534,197564,16629.1,21001.3,9934,13028,13054.1,5390,95209,9622,skewed_1
65534,197564,16629.1,21001.3,54,19898.8,22299.8,7721,976,3593,skewed_2
65535,197564,16629.1,21001.3,150357,16647.3,21041.9,8036,4120,184531,skewed_2
65535,197564,16629.1,21001.3,46372,16640.6,21115.4,6806,2072,63460,skewed_2
65535,197564,16629.1,21001.3,348832,16618.9,21077.4,7135,8232,370342,skewed_1
65534,197564,16629.1,21001.3,3622,17637.5,22304.5,5209,809,5534,skewed_2
65535,197564,16629.1,21001.3,530445,16886.4,21253.8,9191,3423,308215,skewed_2
65534,13256,16425.4,20910.7,197564,16629.1,21001.3,1518,5259,13410,skewed_1
65529,13256,16425.4,20910.7,13256,16425.4,20910.7,541,495,12454,skewed_2
