range,n1,average1,std1,n2,average2,std2,skewed_1,skewed_2,non_skewed,vector,fastest_algo
65518,9862,16767.2,21066,9862,16767.2,21066,11431,11274,6816,2443,vector
65518,9862,16767.2,21066,10,20967,22080.1,224,119,160,140,skewed_2
65518,9862,16767.2,21066,4,21096.2,24358.7,166,74,15531,261,skewed_2
65518,9862,16767.2,21066,48,22803.3,22462.6,358,426,394,186,vector
65518,9862,16767.2,21066,3131,17175.5,21213.4,954,449,1298,732,skewed_2
65518,9862,16767.2,21066,1708,18065.8,18056.9,148,858,511,391,skewed_1
65518,9862,16767.2,21066,2,15506,21904.8,127,94,75,175,non_skewed
65518,9862,16767.2,21066,1082,18420.3,22151,296,253,706,500,skewed_2
65518,9862,16767.2,21066,13931,17259.1,21557.8,1213,565,5827,2358,skewed_2
65518,9862,16767.2,21066,158,11604.5,11621.3,172,210,217,143,vector
65518,9862,16767.2,21066,6,21094.5,23086,147,80,94,237,skewed_2
65518,9862,16767.2,21066,15759,17704.1,21846.8,1609,989,6872,2767,skewed_2
65518,9862,16767.2,21066,2828,17470.5,22168.6,823,348,2094,1026,skewed_2
65535,9862,16767.2,21066,30147,16968.7,21371.5,3764,1234,18343,32740,skewed_2
65518,9862,16767.2,21066,4,2366,2710.08,108,71,63,102,non_skewed
65518,9862,16767.2,21066,2526,26788.5,26788,198,1348,726,496,skewed_1
65518,9862,16767.2,21066,3558,16121.7,20203.3,868,375,1559,953,skewed_2
65518,9862,16767.2,21066,1828,13484.2,13479.2,135,991,539,365,skewed_1
65518,9862,16767.2,21066,2,18375.5,25965.7,129,78,87,220,skewed_2
65518,9862,16767.2,21066,6,13916.8,16055.7,167,124,103,238,non_skewed
65518,9862,16767.2,21066,673,18089.7,21759.2,253,296,655,241,vector
65518,9862,16767.2,21066,2775,15100.7,20014.6,787,347,2964,748,skewed_2
65518,9862,16767.2,21066,531,14484.9,20154.1,227,97,541,333,skewed_2
65518,9862,16767.2,21066,1958,5630,5626.99,234,1485,736,443,skewed_1
65518,9862,16767.2,21066,1153,18668.8,22970,281,191,18839,302,skewed_2
65518,9862,16767.2,21066,10831,16917.8,21277.6,1235,740,11857,3309,skewed_2
65518,9862,16767.2,21066,2630,16367.8,20948.8,898,248,1525,875,skewed_2
65518,9862,16767.2,21066,369,16489.4,21383,354,216,798,171,vector
65518,9862,16767.2,21066,2,11127,15716.2,123,95,96,121,skewed_2
65518,9862,16767.2,21066,4352,17081.5,21512.4,814,230,18984,1923,skewed_2
65518,9862,16767.2,21066,1111,18102.4,21906.4,769,347,2534,409,skewed_2
65518,9862,16767.2,21066,1791,16654.7,21274.7,857,360,1235,510,skewed_2
65518,9862,16767.2,21066,244,31057.2,31106.1,571,42,364,256,skewed_2
65518,9862,16767.2,21066,4,18881.2,21779.1,134,74,88,187,skewed_2
65518,9862,16767.2,21066,331,17467.6,19172.6,265,212,328,219,skewed_2
65518,9862,16767.2,21066,18,17176.5,17653.9,133,106,95,91,vector
65518,9862,16767.2,21066,1327,17604.2,21942.3,244,74,1071,404,skewed_2
65518,9862,16767.2,21066,649,17414.9,21580,431,265,2451,257,vector
