range, n1 , average1, std1, n2 , average2, std2, skewed_1, skewed_2, non_skewed, vector
65535, 169096, 19337.2, 21706.3, 169096, 19337.2, 21706.3, 8289155, 8270435, 4991448, 1347266
65535, 169096, 19337.2, 21706.3, 46, 20595.6, 23630.1, 527744, 6880, 440535, 196048
65535, 169096, 19337.2, 21706.3, 17648, 19492.5, 21753.7, 660403, 844791, 842422, 321997
65535, 169096, 19337.2, 21706.3, 240934, 19336.5, 21696.3, 3119728, 2520364, 6015388, 1720782
65535, 169096, 19337.2, 21706.3, 3018, 19249.9, 21904.1, 480135, 210828, 538775, 220417
65535, 169096, 19337.2, 21706.3, 898, 18996.5, 21566.9, 462725, 85869, 486645, 216058
65535, 169096, 19337.2, 21706.3, 2665, 19475.2, 21946.2, 472426, 174408, 541934, 217938
65535, 169096, 19337.2, 21706.3, 169096, 19337.2, 21706.3, 8267025, 8272314, 5010199, 1367005
65535, 169096, 19337.2, 21706.3, 20745, 19371.4, 21774.3, 700693, 1056009, 902461, 342236
65535, 169096, 19337.2, 21706.3, 51, 19446.5, 22337.2, 461385, 7610, 454505, 227008
65535, 169096, 19337.2, 21706.3, 5520, 19426, 21763.8, 520535, 311437, 574974, 237567
65535, 169096, 19337.2, 21706.3, 140605, 19327.8, 21687.7, 2487374, 2095728, 4616073, 1104398
65535, 169096, 19337.2, 21706.3, 2628, 20020.4, 22096.8, 476716, 206558, 544925, 218157
65535, 169096, 19337.2, 21706.3, 250780, 19328.8, 21691.7, 3201767, 2578713, 6070217, 2723222
65535, 169096, 19337.2, 21706.3, 301987, 19329, 21683.5, 2940070, 2764701, 8103876, 2078839
65535, 169096, 19337.2, 21706.3, 312765, 19327.4, 21681.3, 2855670, 2875820, 8212135, 2139188
65535, 169096, 19337.2, 21706.3, 409, 18891.1, 21607.2, 445796, 68850, 485615, 187598
65535, 169096, 19337.2, 21706.3, 10629, 19411.2, 21636, 580714, 484535, 700663, 272357
65535, 169096, 19337.2, 21706.3, 3376, 19271.5, 21617.6, 507654, 211678, 564894, 223108
65535, 169096, 19337.2, 21706.3, 1969, 19674, 21998.6, 465075, 154518, 516135, 213207
65535, 169096, 19337.2, 21706.3, 1422, 18971.7, 21332.3, 475885, 126679, 504555, 222287
65535, 169096, 19337.2, 21706.3, 898, 18996.5, 21566.9, 451705, 85799, 500385, 205968
65535, 169096, 19337.2, 21706.3, 312765, 19327.4, 21681.3, 2829531, 2872090, 8221426, 2145538
65535, 169096, 19337.2, 21706.3, 59, 17259.6, 21337.8, 466025, 7150, 468045, 667593
65535, 169096, 19337.2, 21706.3, 11492, 19266.7, 21695.8, 576364, 525575, 759473, 275927
65535, 169096, 19337.2, 21706.3, 4877, 19205.5, 21700.6, 513655, 277067, 574434, 242468
65535, 169096, 19337.2, 21706.3, 4014, 19521.4, 21856, 493125, 243328, 576304, 227488
65535, 169096, 19337.2, 21706.3, 20745, 19371.4, 21774.3, 700012, 1051160, 900520, 341497
65535, 169096, 19337.2, 21706.3, 108, 18207.6, 20618.4, 425886, 17650, 475095, 201088
65535, 169096, 19337.2, 21706.3, 166551, 19344, 21708.4, 8212105, 7948278, 4982888, 1183998
65535, 169096, 19337.2, 21706.3, 2, 2200, 3109.86, 32450, 1630, 32209, 45750
65535, 169096, 19337.2, 21706.3, 2571, 19162.6, 21836, 492615, 192298, 526655, 234337
65535, 169096, 19337.2, 21706.3, 2571, 19162.6, 21836, 469385, 192978, 539464, 217008
65535, 169096, 19337.2, 21706.3, 3763, 18832.8, 21301, 496765, 224087, 553705, 234238
65535, 169096, 19337.2, 21706.3, 5483, 18968.8, 21563.5, 502454, 345747, 586004, 235527
65535, 169096, 19337.2, 21706.3, 5316, 19285.6, 21759.8, 512534, 281658, 598344, 236448
65535, 169096, 19337.2, 21706.3, 7017, 19371.7, 21704.6, 538605, 462435, 625453, 246978
65535, 169096, 19337.2, 21706.3, 4636, 19684.2, 21852.8, 527625, 326227, 564074, 242607
65535, 169096, 19337.2, 21706.3, 79417, 19334.9, 21668.4, 1375956, 1579493, 3444905, 722753
65535, 169096, 19337.2, 21706.3, 732, 20160.8, 22194.3, 454076, 63039, 506005, 205348
65535, 169096, 19337.2, 21706.3, 16206, 19359.8, 21733.6, 644274, 633813, 811302, 319096
65535, 169096, 19337.2, 21706.3, 86, 18488.5, 21338, 447865, 12310, 460665, 192268
65535, 169096, 19337.2, 21706.3, 5478, 19207.8, 21642.9, 505035, 391265, 584464, 245688
65535, 169096, 19337.2, 21706.3, 3, 8564.33, 13587.3, 165519, 2400, 179998, 248617
65535, 169096, 19337.2, 21706.3, 312521, 19323.6, 21680.9, 3161777, 2871080, 8131486, 2153898
65535, 169096, 19337.2, 21706.3, 4496, 19176.5, 21689.6, 497735, 344276, 565154, 229758
65535, 169096, 19337.2, 21706.3, 3172, 19030.8, 21435.9, 489335, 238288, 547124, 221428
65535, 169096, 19337.2, 21706.3, 5441, 19163.3, 21562.4, 505895, 400896, 585294, 251177
65535, 169096, 19337.2, 21706.3, 250780, 19328.8, 21691.7, 3358555, 2566414, 6175956, 2704852
65535, 169096, 19337.2, 21706.3, 2376, 19158.9, 21576.2, 470215, 185388, 551934, 215958
65535, 169096, 19337.2, 21706.3, 6, 15342, 25608.3, 460595, 2250, 452645, 654133
65535, 169096, 19337.2, 21706.3, 312765, 19327.4, 21681.3, 2833361, 2871760, 8215515, 2135388
65535, 169096, 19337.2, 21706.3, 21235, 19309.7, 21655.7, 719212, 756072, 917371, 357836
65535, 169096, 19337.2, 21706.3, 3577, 19229.6, 21728.4, 482315, 210478, 565884, 223277
65535, 169096, 19337.2, 21706.3, 585, 19792.1, 22052.7, 460825, 56180, 486395, 191219
65535, 169096, 19337.2, 21706.3, 1, 26612, -nan, 247097, 1650, 190958, 272867
65535, 169096, 19337.2, 21706.3, 140627, 19296.7, 21654.6, 1926840, 3479654, 3063848, 1120069
65535, 169096, 19337.2, 21706.3, 301784, 19320.4, 21685.3, 2940930, 2828060, 8095347, 3042658
65535, 169096, 19337.2, 21706.3, 4636, 19684.2, 21852.8, 533525, 324876, 564644, 242598
65535, 169096, 19337.2, 21706.3, 68021, 19353.5, 21739.4, 3412395, 3713562, 2832420, 635364
65535, 169096, 19337.2, 21706.3, 615, 18933.9, 21311.9, 472725, 62650, 487185, 225007
65535, 169096, 19337.2, 21706.3, 956, 19874.4, 21923.2, 453705, 83119, 509885, 207618
65535, 169096, 19337.2, 21706.3, 169096, 19337.2, 21706.3, 8244745, 8283325, 4999709, 1361176
65535, 169096, 19337.2, 21706.3, 1483, 19831.1, 22286.4, 459255, 126559, 504354, 197698
65535, 169096, 19337.2, 21706.3, 166551, 19344, 21708.4, 8236415, 7920888, 4970208, 1188998
65535, 169096, 19337.2, 21706.3, 301784, 19320.4, 21685.3, 2940110, 2833361, 8116506, 3032588
65535, 169096, 19337.2, 21706.3, 5784, 19679.7, 21829, 512795, 400536, 591194, 249197
65535, 169096, 19337.2, 21706.3, 330197, 19330.3, 21686.1, 2929889, 4250496, 8364844, 2242657
65535, 169096, 19337.2, 21706.3, 1394, 20239.7, 21971.4, 462105, 115349, 513175, 209628
65535, 169096, 19337.2, 21706.3, 21235, 19309.7, 21655.7, 708223, 756612, 914191, 361046
65535, 169096, 19337.2, 21706.3, 312521, 19323.6, 21680.9, 3292156, 2860991, 8140736, 2131308
65535, 169096, 19337.2, 21706.3, 4496, 19176.5, 21689.6, 521074, 313377, 574504, 230427
65535, 169096, 19337.2, 21706.3, 46, 20595.6, 23630.1, 444215, 6690, 458506, 187028
65535, 169096, 19337.2, 21706.3, 1963, 19543.6, 21870.7, 483165, 151229, 509884, 213698
65535, 169096, 19337.2, 21706.3, 204, 17660.7, 20570.7, 436846, 22250, 478255, 219237
65535, 169096, 19337.2, 21706.3, 1211, 19819.1, 21907.4, 456595, 100329, 517025, 208288
65535, 169096, 19337.2, 21706.3, 194, 19118.4, 21184.6, 453876, 23170, 471215, 201748
65535, 169096, 19337.2, 21706.3, 732, 20160.8, 22194.3, 461935, 62479, 491585, 205198
65535, 169096, 19337.2, 21706.3, 166959, 19316.4, 21665.8, 2111358, 4561403, 3506313, 1265667
65535, 169096, 19337.2, 21706.3, 27027, 19368.9, 21727, 769272, 1161828, 1032240, 385326
65535, 169096, 19337.2, 21706.3, 301987, 19329, 21683.5, 2914230, 2761712, 8120066, 2075898
65535, 169096, 19337.2, 21706.3, 166551, 19344, 21708.4, 8251425, 7938818, 4988578, 1185508
65535, 169096, 19337.2, 21706.3, 10418, 19343, 21753.7, 584874, 468215, 694053, 271067
65535, 169096, 19337.2, 21706.3, 138082, 19304.2, 21656.3, 1887040, 3426435, 3105228, 1110179
65535, 169096, 19337.2, 21706.3, 898, 18996.5, 21566.9, 450376, 86329, 509745, 205897
65535, 169096, 19337.2, 21706.3, 6883, 19481.1, 21632.6, 526705, 379037, 614543, 255438
65535, 169096, 19337.2, 21706.3, 10629, 19411.2, 21636, 568064, 496115, 700193, 272337
65535, 169096, 19337.2, 21706.3, 250780, 19328.8, 21691.7, 3397385, 2573094, 6167466, 2711282
65535, 169096, 19337.2, 21706.3, 140605, 19327.8, 21687.7, 2498634, 2095898, 4616423, 1087318
65535, 169096, 19337.2, 21706.3, 10, 13695.6, 18918, 486255, 3740, 446155, 57119
65535, 169096, 19337.2, 21706.3, 166551, 19344, 21708.4, 8211155, 7926258, 4985129, 1186547
65535, 169096, 19337.2, 21706.3, 27027, 19368.9, 21727, 757373, 1206817, 1042859, 385646
65535, 169096, 19337.2, 21706.3, 720, 19524.8, 21945.3, 474445, 64749, 484665, 204908
65535, 169096, 19337.2, 21706.3, 5, 20896, 29075.5, 503084, 3420, 463856, 655544
65535, 169096, 19337.2, 21706.3, 159849, 19343.4, 21683.5, 3020599, 3043969, 4917769, 1208197
65535, 169096, 19337.2, 21706.3, 1650, 20462.7, 22164.7, 479375, 130388, 502585, 220598
