range, n1 , average1, std1, n2 , average2, std2, skewed_1, skewed_2, non_skewed, vector
65534, 197564, 16629.1, 21001.3, 197564, 16629.1, 21001.3, 9767799, 9699589, 5844309, 1579364
65534, 197564, 16629.1, 21001.3, 13256, 16425.4, 20910.7, 132559, 108479, 329767, 293817
65534, 197564, 16629.1, 21001.3, 251, 16618.1, 21151.1, 107809, 4870, 109129, 47879
65534, 197564, 16629.1, 21001.3, 423, 16452.1, 21014.8, 114649, 17400, 110988, 26900
65534, 197564, 16629.1, 21001.3, 5310, 17053.8, 21115.9, 119888, 69690, 188758, 79809
65534, 197564, 16629.1, 21001.3, 1561, 17449, 21502.8, 108839, 48290, 141278, 54310
65534, 197564, 16629.1, 21001.3, 7747, 16634.6, 21170.1, 119389, 79759, 228398, 90599
65534, 197564, 16629.1, 21001.3, 3428, 16929.1, 21398.3, 117449, 46990, 166098, 234687
65534, 197564, 16629.1, 21001.3, 2139, 15643.7, 20574.5, 106429, 27110, 135848, 54370
65535, 197564, 16629.1, 21001.3, 255502, 16705, 21163.2, 1145648, 463685, 7160396, 2387815
65534, 197564, 16629.1, 21001.3, 389, 16721.8, 21048.1, 111058, 8560, 112779, 30020
65534, 197564, 16629.1, 21001.3, 1665, 16242.8, 20699.8, 105649, 23430, 131519, 45459
65534, 197564, 16629.1, 21001.3, 47422, 16671.2, 21111.9, 205468, 328506, 862401, 501335
65534, 197564, 16629.1, 21001.3, 434, 16740, 21412.9, 115899, 13840, 111759, 49389
65535, 197564, 16629.1, 21001.3, 203042, 16553.7, 21025.7, 470005, 1226487, 5449103, 2058519
65534, 197564, 16629.1, 21001.3, 29794, 16517.7, 20978, 160448, 148629, 586094, 393655
65534, 197564, 16629.1, 21001.3, 16650, 16349.9, 20855, 152448, 116449, 385576, 312607
65534, 197564, 16629.1, 21001.3, 16650, 16349.9, 20855, 134349, 115559, 364236, 311847
65534, 197564, 16629.1, 21001.3, 197564, 16629.1, 21001.3, 9840458, 9663280, 5851630, 1595743
65535, 197564, 16629.1, 21001.3, 131331, 16661.7, 21053.2, 414886, 1267117, 2692352, 1010390
65535, 197564, 16629.1, 21001.3, 81094, 16647.5, 20996, 265578, 556814, 2299176, 1308726
65534, 197564, 16629.1, 21001.3, 3806, 8989.5, 8992.08, 51179, 65439, 105049, 36960
65535, 197564, 16629.1, 21001.3, 188809, 16531.8, 20963, 440856, 3035828, 2859600, 1185268
65534, 197564, 16629.1, 21001.3, 42800, 16567.8, 21074.9, 214708, 696653, 1630373, 479015
65534, 197564, 16629.1, 21001.3, 108226, 16697.2, 21074, 354807, 352216, 3954899, 877861
65534, 197564, 16629.1, 21001.3, 188, 16587.9, 21364.4, 78309, 7130, 108249, 48419
65534, 197564, 16629.1, 21001.3, 48446, 16667.3, 21014.5, 837271, 210058, 1718642, 516935
65534, 197564, 16629.1, 21001.3, 168, 16403.2, 20545.7, 107939, 5900, 106459, 46799
65534, 197564, 16629.1, 21001.3, 378, 16156.3, 20589.2, 90129, 7890, 110549, 49569
65535, 197564, 16629.1, 21001.3, 499585, 16626.2, 21049.8, 918070, 1121709, 10197434, 3256916
65534, 197564, 16629.1, 21001.3, 65746, 16751.1, 21147.2, 268597, 592704, 1881280, 607524
65534, 197564, 16629.1, 21001.3, 255, 16769.4, 21213.7, 100669, 11130, 110179, 38309
65534, 197564, 16629.1, 21001.3, 249, 15939.6, 20803.3, 91929, 10610, 110059, 68409
65534, 197564, 16629.1, 21001.3, 31577, 16453.5, 20863.5, 182209, 283638, 1047909, 245867
65534, 197564, 16629.1, 21001.3, 197564, 16629.1, 21001.3, 9839837, 9678480, 5843389, 1602093
65534, 197564, 16629.1, 21001.3, 459, 16771.6, 21221, 106269, 12130, 112229, 26750
65535, 197564, 16629.1, 21001.3, 1749744, 16655.9, 21067.6, 1282777, 3057238, 12479590, 10160805
65534, 197564, 16629.1, 21001.3, 7747, 16634.6, 21170.1, 122618, 80369, 259588, 93989
65534, 197564, 16629.1, 21001.3, 73888, 16762, 21264.8, 245998, 416395, 1993700, 658933
65534, 197564, 16629.1, 21001.3, 47373, 16777.6, 21172.9, 193018, 263218, 2697972, 346407
