range, n1 , average1, std1, n2 , average2, std2, skewed_1, skewed_2, non_skewed
65534, 197564, 16629.1, 21001.3, 197564, 16629.1, 21001.3, 195838, 140258, 6794220
65534, 197564, 16629.1, 21001.3, 13256, 16425.4, 20910.7, 138099, 21040, 336156
65534, 197564, 16629.1, 21001.3, 251, 16618.1, 21151.1, 81599, 4760, 108459
65534, 197564, 16629.1, 21001.3, 423, 16452.1, 21014.8, 124429, 6910, 111138
65534, 197564, 16629.1, 21001.3, 5310, 17053.8, 21115.9, 155438, 12730, 171958
65534, 197564, 16629.1, 21001.3, 1561, 17449, 21502.8, 128059, 13889, 125789
65534, 197564, 16629.1, 21001.3, 7747, 16634.6, 21170.1, 127398, 14920, 228118
65534, 197564, 16629.1, 21001.3, 3428, 16929.1, 21398.3, 135419, 18700, 159228
65534, 197564, 16629.1, 21001.3, 2139, 15643.7, 20574.5, 128849, 10570, 136948
65535, 197564, 16629.1, 21001.3, 255502, 16705, 21163.2, 189158, 154738, 7096327
65534, 197564, 16629.1, 21001.3, 389, 16721.8, 21048.1, 127248, 8600, 112369
65534, 197564, 16629.1, 21001.3, 1665, 16242.8, 20699.8, 135619, 14060, 131078
65534, 197564, 16629.1, 21001.3, 47422, 16671.2, 21111.9, 173218, 46960, 839641
65534, 197564, 16629.1, 21001.3, 434, 16740, 21412.9, 111689, 7260, 111849
65535, 197564, 16629.1, 21001.3, 203042, 16553.7, 21025.7, 206838, 127129, 5414144
65534, 197564, 16629.1, 21001.3, 29794, 16517.7, 20978, 140368, 36840, 562244
65534, 197564, 16629.1, 21001.3, 16650, 16349.9, 20855, 180639, 26310, 364116
65534, 197564, 16629.1, 21001.3, 16650, 16349.9, 20855, 137448, 18860, 346007
65534, 197564, 16629.1, 21001.3, 197564, 16629.1, 21001.3, 192058, 143289, 6783049
65535, 197564, 16629.1, 21001.3, 131331, 16661.7, 21053.2, 175748, 101129, 2702872
65535, 197564, 16629.1, 21001.3, 81094, 16647.5, 20996, 141399, 68439, 2256657
65534, 197564, 16629.1, 21001.3, 3806, 8989.5, 8992.08, 97289, 1152478, 88739
65535, 197564, 16629.1, 21001.3, 188809, 16531.8, 20963, 172008, 130818, 3111218
65534, 197564, 16629.1, 21001.3, 42800, 16567.8, 21074.9, 167269, 44939, 1641573
65534, 197564, 16629.1, 21001.3, 108226, 16697.2, 21074, 161279, 98249, 3884459
65534, 197564, 16629.1, 21001.3, 188, 16587.9, 21364.4, 81870, 59510, 108679
65534, 197564, 16629.1, 21001.3, 48446, 16667.3, 21014.5, 163169, 46429, 1720792
65534, 197564, 16629.1, 21001.3, 168, 16403.2, 20545.7, 154298, 49659, 106769
65534, 197564, 16629.1, 21001.3, 378, 16156.3, 20589.2, 115619, 6840, 110959
65535, 197564, 16629.1, 21001.3, 499585, 16626.2, 21049.8, 206148, 326606, 10199474
65534, 197564, 16629.1, 21001.3, 65746, 16751.1, 21147.2, 167379, 87100, 1855730
65534, 197564, 16629.1, 21001.3, 255, 16769.4, 21213.7, 138008, 10240, 110459
65534, 197564, 16629.1, 21001.3, 249, 15939.6, 20803.3, 118469, 9580, 110279
65534, 197564, 16629.1, 21001.3, 31577, 16453.5, 20863.5, 154768, 35239, 1030380
65534, 197564, 16629.1, 21001.3, 197564, 16629.1, 21001.3, 201498, 144969, 6740480
65534, 197564, 16629.1, 21001.3, 459, 16771.6, 21221, 126819, 7120, 112709
65535, 197564, 16629.1, 21001.3, 1749744, 16655.9, 21067.6, 197588, 1042899, 12727078
65534, 197564, 16629.1, 21001.3, 7747, 16634.6, 21170.1, 129948, 16150, 228338
65534, 197564, 16629.1, 21001.3, 73888, 16762, 21264.8, 162639, 49929, 1753852
65534, 197564, 16629.1, 21001.3, 47373, 16777.6, 21172.9, 157149, 37829, 2645593
65535, 197564, 16629.1, 21001.3, 1434753, 16577.3, 21012.1, 163878, 1054499, 9647000
65535, 197564, 16629.1, 21001.3, 92535, 16663.5, 21065.6, 139079, 103729, 2202688
65534, 197564, 16629.1, 21001.3, 4876, 17785.5, 20945.4, 131879, 27419, 193908
65534, 197564, 16629.1, 21001.3, 29803, 16721.3, 21094.2, 136608, 35750, 582414
65535, 197564, 16629.1, 21001.3, 133473, 16616.3, 21076.2, 139999, 96219, 4211126
65535, 197564, 16629.1, 21001.3, 446607, 16652.2, 21123.9, 140349, 245337, 8469032
