range, n1 , average1, std1, n2 , average2, std2, skewed_1, skewed_2, non_skewed, vector
65518, 9862, 16767.2, 21066, 9862, 16767.2, 21066, 505345, 476565, 289217, 81459
65518, 9862, 16767.2, 21066, 10, 20967, 22080.1, 4990, 1590, 4020, 2770
65518, 9862, 16767.2, 21066, 4, 21096.2, 24358.7, 5960, 1340, 3910, 5300
65518, 9862, 16767.2, 21066, 48, 22803.3, 22462.6, 6630, 4420, 10029, 5170
65518, 9862, 16767.2, 21066, 3131, 17175.5, 21213.4, 25220, 5560, 52229, 27740
65518, 9862, 16767.2, 21066, 1708, 18065.8, 18056.9, 4770, 32630, 28080, 12809
65518, 9862, 16767.2, 21066, 2, 15506, 21904.8, 3690, 1420, 2890, 3840
65518, 9862, 16767.2, 21066, 1082, 18420.3, 22151, 7770, 2780, 29930, 15110
65518, 9862, 16767.2, 21066, 13931, 17259.1, 21557.8, 28210, 8920, 297827, 90859
65518, 9862, 16767.2, 21066, 158, 11604.5, 11621.3, 4459, 4080, 4890, 3230
65518, 9862, 16767.2, 21066, 6, 21094.5, 23086, 5940, 1340, 3890, 5250
65518, 9862, 16767.2, 21066, 15759, 17704.1, 21846.8, 31870, 19890, 316246, 101909
65518, 9862, 16767.2, 21066, 2828, 17470.5, 22168.6, 13230, 4050, 49139, 25600
65535, 9862, 16767.2, 21066, 30147, 16968.7, 21371.5, 71820, 20849, 375347, 195048
65518, 9862, 16767.2, 21066, 4, 2366, 2710.08, 2790, 1260, 1540, 1970
65518, 9862, 16767.2, 21066, 2526, 26788.5, 26788, 5769, 48280, 31590, 18759
65518, 9862, 16767.2, 21066, 3558, 16121.7, 20203.3, 24940, 4980, 57829, 31090
65518, 9862, 16767.2, 21066, 1828, 13484.2, 13479.2, 4540, 34410, 22469, 13750
65518, 9862, 16767.2, 21066, 2, 18375.5, 25965.7, 3920, 1400, 3090, 4190
65518, 9862, 16767.2, 21066, 6, 13916.8, 16055.7, 4340, 1690, 3390, 4570
65518, 9862, 16767.2, 21066, 673, 18089.7, 21759.2, 7620, 4320, 24620, 7070
65518, 9862, 16767.2, 21066, 2775, 15100.7, 20014.6, 24509, 4870, 159899, 24199
65518, 9862, 16767.2, 21066, 531, 14484.9, 20154.1, 6020, 1820, 23450, 8350
65518, 9862, 16767.2, 21066, 1958, 5630, 5626.99, 4610, 28750, 29679, 13770
65518, 9862, 16767.2, 21066, 1153, 18668.8, 22970, 6720, 2080, 51929, 9640
65518, 9862, 16767.2, 21066, 10831, 16917.8, 21277.6, 40009, 10810, 264227, 71820
65518, 9862, 16767.2, 21066, 2630, 16367.8, 20948.8, 24350, 3580, 66899, 33630
65518, 9862, 16767.2, 21066, 369, 16489.4, 21383, 11520, 2740, 41520, 4570
65518, 9862, 16767.2, 21066, 2, 11127, 15716.2, 4050, 1250, 2630, 3420
